Catalog_name,Assoc_name,RA,DEC,PL_index,LP_alpha,LP_beta,Redshift,Sign.
4FGL J1454.0+4927,87GB 145232.0+493854,223.5246,49.4589,2.5747,0,0,2.085,4.475
4FGL J1321.3-2641,PKS 1318-263,200.3318,-26.6996,2.5858,0,0,2.027,5.231
4FGL J1057.2+5510,SDSS J105707.47+551032.2,164.3183,55.1804,1.821,0,0,2.085,5.233
4FGL J2216.8+3103,S3 2214+30,334.2024,31.059,2.5769,0,0,2.462,5.246
4FGL J0550.3-5733,PKS 0549-575,87.5847,-57.5536,2.218,0,0,2.001,5.424
4FGL J0742.1+4902,GB6 J0742+4900,115.5361,49.0428,2.2662,0,0,2.312,5.585
4FGL J1003.4+0205,SDSS J100326.63+020455.6,150.8627,2.0877,2.0277,0,0,2.075,5.7
4FGL J1205.8+3321,SDSS J120542.82+332146.9,181.4595,33.3546,2.6198,0,0,2.125,5.853
4FGL J1402.6-3330,PMN J1402-3334,210.6652,-33.5045,2.758,2.6534,0.9845,2.14,5.858
4FGL J1324.9+4748,TXS 1322+479,201.2398,47.8086,2.6739,0,0,2.26,5.891
4FGL J1627.3+4758,MG4 J162750+4802,246.8492,47.9822,2.5842,0,0,2.325736,6.019
4FGL J0403.3+2601,OF 200,60.8391,26.0206,2.5859,0,0,2.109,6.037
4FGL J2114.8+2831,B2 2112+28B,318.7165,28.5222,2.7118,0,0,2.345,6.072
4FGL J2226.8+0051,PKS B2224+006,336.7125,0.8622,2.5435,0,0,2.262,6.185
4FGL J0743.0-5622,PMN J0743-5619,115.7698,-56.3768,2.724,0,0,2.319,6.218
4FGL J1139.0+4033,CRATES J113903+403303,174.7637,40.5617,2.7201,0,0,2.36,6.526
4FGL J0422.8+0225,PKS 0420+022,65.7022,2.4276,2.8309,2.63,0.6276,2.277,6.638
4FGL J0004.0+0840,SDSS J000359.23+084138.1,1.0073,8.6757,2.0353,0,0,2.057129,6.791
4FGL J1351.0+0029,PKS 1348+007,207.757,0.4873,2.4368,0,0,2.084,7.432
4FGL J0806.5+4503,B3 0803+452,121.6284,45.0605,2.6069,0,0,2.102,7.48
4FGL J0625.8-5441,PMN J0625-5438,96.4523,-54.6919,2.7323,0,0,2.051,7.604
4FGL J0134.3-3842,PMN J0134-3843,23.5887,-38.7085,2.4898,0,0,2.14,7.776
4FGL J2323.6-0617,TXS 2321-065,350.9157,-6.2953,2.3999,2.2389,0.1822,2.144,7.948
4FGL J0208.5-0046,PKS 0205-010,32.135,-0.7768,2.3263,0,0,2.025,8.19
4FGL J1521.8+4338,B3 1520+437,230.4645,43.6344,2.9359,0,0,2.171,8.237
4FGL J0124.8-0625,PMN J0124-0624,21.2178,-6.4328,2.2144,0,0,2.117,8.531
4FGL J1158.5+4824,GB1 1155+486,179.6365,48.4161,2.4426,0,0,2.028,9.339
4FGL J2248.7-3235,PKS 2245-328,342.1928,-32.5926,2.7611,0,0,2.268,10.337
4FGL J1736.6+0628,MG1 J173624+0632,264.1747,6.475,2.629,0,0,2.387,10.35
4FGL J0039.0-0946,TXS 0036-099,9.7556,-9.7828,2.6903,0,0,2.1015,10.355
4FGL J1433.0-1801,PKS 1430-178,218.2535,-18.0196,2.5972,2.3945,0.3285,2.331,10.7
4FGL J1114.5-0819,PKS B1112-080,168.6421,-8.3224,2.8238,0,0,2.078,10.736
4FGL J2108.5+1434,OX 110,317.1476,14.5812,2.7654,0,0,2.017,10.845
4FGL J1119.0+1235,OM 127,169.7655,12.5866,2.5864,2.4052,0.2294,2.125651,10.977
4FGL J1045.8-2928,PKS B1043-291,161.4684,-29.4795,2.5442,0,0,2.128,12.133
4FGL J0245.4+2408,B2 0242+23,41.3545,24.1498,2.6761,0,0,2.243,12.433
4FGL J0217.4+7352,S5 0212+73,34.3533,73.8804,2.9398,0,0,2.367,12.494
4FGL J2318.2+1915,TXS 2315+189,349.5568,19.256,2.6668,0,0,2.163,12.68
4FGL J0231.8+1322,4C +13.14,37.9616,13.3692,2.6782,0,0,2.065,13.855
4FGL J1722.6+6104,GB6 J1722+6105,260.6624,61.0734,2.8441,0,0,2.058,14.112
4FGL J2227.9+0036,PMN J2227+0037,336.9843,0.6166,2.0424,1.9566,0.127,2.145,14.297
4FGL J1645.6+6329,TXS 1645+635,251.4051,63.4958,2.5468,2.3816,0.1788,2.379,15.565
4FGL J1056.8+7012,S5 1053+70,164.2076,70.2019,2.6821,2.6687,0.1139,2.492,15.856
4FGL J2025.2+0317,PKS 2022+031,306.3085,3.2893,2.1763,0,0,2.21,17.321
4FGL J1152.3-0839,PKS B1149-084,178.0808,-8.6663,2.4124,0,0,2.37,20.027
4FGL J0157.7-4614,PMN J0157-4614,29.4353,-46.2431,2.4454,2.2395,0.2259,2.287,20.142
4FGL J1450.8+5201,SDSS J145059.99+520111.7,222.7239,52.028,2.1666,0,0,2.471,20.219
4FGL J0323.7-0111,1RXS J032342.6-011131,50.9387,-1.1903,1.8967,0,0,2.075,20.897
4FGL J0809.5+5341,87GB 080551.6+535010,122.3791,53.6876,2.2919,2.1646,0.1129,2.133,22.447
4FGL J1539.6+2743,MG2 J153938+2744,234.9019,27.7277,2.3302,0,0,2.196,24.27
4FGL J1959.1-4247,PMN J1959-4246,299.7963,-42.7852,2.4561,2.2697,0.1642,2.174,24.387
4FGL J0438.9-4521,PKS 0437-454,69.7447,-45.3584,2.4172,0,0,2.017,26.352
4FGL J0530.9+1332,PKS 0528+134,82.7364,13.5402,2.5603,2.5845,0.2777,2.07,26.917
4FGL J2135.3-5006,PMN J2135-5006,323.8362,-50.1015,2.4302,0,0,2.181,28.582
4FGL J0325.7+2225,TXS 0322+222,51.4421,22.4326,2.6532,2.5367,0.1671,2.066,28.818
4FGL J1054.5+2211,87GB 105148.6+222705,163.6279,22.1913,2.135,0,0,2.055,32.188
4FGL J0229.5-3644,PKS 0227-369,37.3877,-36.7388,2.6032,2.4632,0.1286,2.115,32.386
4FGL J1438.9+3710,B2 1436+37B,219.7402,37.1752,2.4072,2.3098,0.108,2.401,33.706
4FGL J0902.4+2051,NVSS J090226+205045,135.6172,20.8503,2.1451,0,0,2.055,34.044
4FGL J1344.2-1723,PMN J1344-1723,206.0601,-17.3978,2.2326,2.1063,0.1218,2.49,36.929
4FGL J0449.1+1121,PKS 0446+11,72.2823,11.3569,2.5072,2.3819,0.1389,2.153,40.556
4FGL J2121.0+1901,OX 131,320.2598,19.0324,2.22,2.1557,0.0574,2.18,42.721
4FGL J2151.8-3027,PKS 2149-306,327.9655,-30.46,2.8537,2.7489,0.1851,2.345,46.587
4FGL J0601.1-7035,PKS 0601-70,90.2958,-70.5895,2.4185,2.3142,0.1165,2.409,47.276
4FGL J0228.3-5547,PKS 0226-559,37.0854,-55.7931,2.2322,2.2259,0.1128,2.464,50.273
4FGL J0920.9+4441,S4 0917+44,140.2291,44.699,2.3479,2.2673,0.1363,2.186448,51.609
4FGL J1332.0-0509,PKS 1329-049,203.0196,-5.1611,2.5144,2.394,0.1669,2.15,56.169
4FGL J1418.4+3543,87GB 141615.9+355650,214.6229,35.7192,2.1066,2.016,0.0661,2.085,65.691
4FGL J0501.2-0158,S3 0458-02,75.3023,-1.9749,2.3733,2.2677,0.0882,2.291,71.553
4FGL J0841.3+7053,4C +71.07,130.3418,70.8887,2.8196,2.7746,0.2313,2.218,73.206
4FGL J0108.6+0134,4C +01.02,17.1695,1.5819,2.3619,2.2844,0.1018,2.099,143.11
