CatalogName,Assoc_name,RA,Dec,RedShift,SpectrumType,TS,Catalog_Pl_index,PL_index,Prefactor,Scale,Norm,Catalog_alpha,Alpha,Catalog_beta,Beta,Eb,Catalog_flux,flux,Catalog_fluxErr,flux_err,Class
4FGL J1454.0+4927,87GB 145232.0+493854,223.52,49.45,2.085,PowerLaw,19.29,2.575,2.501,1.15094818163034E-13,986.402,0,2.4639,0,0.2678,0,0,8.6008E-11,7.41449184549459E-11,2.171E-11,2.15053401401606E-11,bcu
4FGL J1321.3-2641,PKS 1318-263,200.33,-26.69,2.027,PowerLaw,47.04,2.586,2.54,3.54913374191045E-13,874.642,0,2.6543,0,-0.087,0,0,1.4377E-10,1.64088893373792E-10,3.3776E-11,3.38353813141376E-11,fsrq
4FGL J1057.2+5510,SDSS J105707.47+551032.2,164.31,55.18,2.085,PowerLaw,77.49,1.821,2.059,6.00616800129816E-15,4916.487,0,1.208,0,0.3687,0,0,1.2457E-10,1.50262378472919E-10,2.4504E-11,2.57355834319916E-11,bcu
4FGL J2216.8+3103,S3 2214+30,334.202,31.059,2.462,PowerLaw,30.93,2.577,2.515,3.41890499588181E-13,836.707,0,2.4672,0,0.2224,0,0,1.8921E-10,1.44166425366623E-10,3.7236E-11,3.40943943983607E-11,fsrq
4FGL J0550.3-5733,PKS 0549-575,87.58,-57.55,2.001,PowerLaw,47.07,2.218,2.19,4.66455365069439E-14,1925.88,0,2.2152,0,0.0072,0,0,1.5562E-10,1.64544087678769E-10,3.0398E-11,1.09314641255934E-11,fsrq
4FGL J0742.1+4902,GB6 J0742+4900,115.53,49.04,2.312,PowerLaw,96.06,2.266,2.184,8.54350237741044E-14,1661.626,0,1.921,0,0.3818,0,0,1.2779E-10,2.18621210858549E-10,2.7774E-11,3.15608083173935E-11,fsrq
4FGL J1003.4+0205,SDSS J100326.63+020455.6,150.86,2.08,2.075,PowerLaw,59.58,2.028,1.77,1.62628302456635E-14,2852.862,0,1.965,0,0.0659,0,0,1.5067E-10,1.33480954534237E-10,3.1815E-11,2.92442151882532E-11,bcu
4FGL J1205.8+3321,SDSS J120542.82+332146.9,181.45,33.35,2.125,PowerLaw,31.14,2.62,2.401,2.90445448624771E-13,744.134,0,2.6304,0,-0.0112,0,0,1.1882E-10,1.02016487581258E-10,2.7072E-11,2.38393648316859E-11,bcu
4FGL J1402.6-3330,PMN J1402-3334,210.665,-33.504,2.14,LogParabola,97.11,2.758,2.65,5.18867543099268E-14,1968.598,5.5127759122284E-12,2.6534,2.629,0.9845,1.759,478.316,9.2936E-11,6.29085965539844E-11,2.9822E-11,4.01939408706416E-11,fsrq
4FGL J1324.9+4748,TXS 1322+479,201.239,47.808,2.26,PowerLaw,191.98,2.674,2.667,9.60012819012166E-13,694.165,0,2.636,0,0.0553,0,0,2.1298E-10,2.17728946426272E-10,2.9335E-11,2.81578258837941E-11,fsrq
4FGL J1627.3+4758,MG4 J162750+4802,246.84,47.98,2.325736,PowerLaw,59.56,2.584,2.635,3.85704625262969E-13,777.265,0,2.4816,0,0.2449,0,0,1.3796E-10,1.21553253512705E-10,2.6495E-11,2.5576655922122E-11,bcu
4FGL J0403.3+2601,OF 200,60.83,26.02,2.109,PowerLaw,26.25,2.586,2.477,4.44880998925549E-13,771.575,0,2.5083,0,0.2787,0,0,1.9624E-10,1.58449477852889E-10,4.0674E-11,3.80911484899297E-11,fsrq
4FGL J2114.8+2831,B2 2112+28B,318.71,28.52,2.345,PowerLaw,62.76,2.712,2.555,8.78937097447337E-13,713.699,0,2.6697,0,0.1225,0,0,2.4351E-10,2.38891646439798E-10,4.5699E-11,4.1694799710411E-11,fsrq
4FGL J2226.8+0051,PKS B2224+006,336.71,0.86,2.262,PowerLaw,53.68,2.543,2.548,5.90481504639429E-13,782.979,0,2.5345,0,0.2381,0,0,2.7003E-10,2.0464942886786E-10,5.4841E-11,4.98520335609954E-11,fsrq
4FGL J0743.0-5622,PMN J0743-5619,115.76,-56.37,2.319,PowerLaw,62.24,2.724,2.757,1.30233099297727E-12,578.16,0,2.6834,0,0.1559,0,0,1.9802E-10,1.63766531782613E-10,3.7436E-11,3.66409799698341E-11,fsrq
4FGL J1139.0+4033,CRATES J113903+403303,174.76,40.56,2.36,PowerLaw,157.37,2.72,2.756,1.0530134101479E-12,677.86,0,2.7029,0,0.0854,0,0,1.966E-10,2.05562858174766E-10,3.2812E-11,2.83468124839405E-11,bcu
4FGL J0422.8+0225,PKS 0420+022,65.702,2.427,2.277,LogParabola,80.2,2.831,2.92,1.36660505772345E-13,1326.023,4.81839210275473E-12,2.63,2.669,0.6276,0.63,467.171,1.5701E-10,1.46364890096066E-10,5.0246E-11,4.42018164101095E-11,fsrq
4FGL J0004.0+0840,SDSS J000359.23+084138.1,1.007,8.675,2.057129,PowerLaw,44.82,2.035,2.003,2.42194392095387E-14,2554.327,0,1.6673,0,0.4691,0,0,1.9186E-10,1.57543865503529E-10,3.5495E-11,3.269413769546E-11,bcu
4FGL J1351.0+0029,PKS 1348+007,207.75,0.48,2.084,PowerLaw,68.31,2.437,2.389,2.87098060196551E-13,999.886,0,2.3606,0,0.0999,0,0,2.5137E-10,2.0663347639338E-10,3.6546E-11,3.43573629116215E-11,fsrq
4FGL J0806.5+4503,B3 0803+452,121.62,45.06,2.102,PowerLaw,64.98,2.607,2.662,6.22188403883028E-13,690.954,0,2.4926,0,0.1276,0,0,1.4869E-10,1.40052076449878E-10,2.8918E-11,2.80283406159357E-11,fsrq
4FGL J0625.8-5441,PMN J0625-5438,96.45,-54.69,2.051,PowerLaw,136.92,2.732,2.638,2.45938573162493E-12,499.576,0,2.6795,0,0.0883,0,0,2.0412E-10,2.40842283739411E-10,3.4364E-11,3.43323735282173E-11,fsrq
4FGL J0134.3-3842,PMN J0134-3843,23.588,-38.708,2.14,PowerLaw,134.8,2.49,2.559,4.76095124259403E-13,831.913,0,2.429,0,0.1031,0,0,1.388E-10,1.9084110169523E-10,2.5611E-11,2.85871182307106E-11,fsrq
4FGL J2323.6-0617,TXS 2321-065,350.91,-6.29,2.144,LogParabola,287.43,2.4,2.39,1.01535323519559E-13,2170.227,1.50297734545594E-12,2.2389,2.141,0.1822,0.26,759.235,5.5363E-10,5.19913119938129E-10,5.2952E-11,4.81725269599917E-11,fsrq
4FGL J0208.5-0046,PKS 0205-010,32.13,-0.77,2.025,PowerLaw,106.38,2.326,2.204,1.62463361032988E-13,1277.393,0,2.3319,0,-0.0075,0,0,2.262E-10,2.31265948481046E-10,3.4001E-11,3.17952140539881E-11,bll
4FGL J1521.8+4338,B3 1520+437,230.46,43.63,2.171,PowerLaw,125.54,2.936,2.962,2.97599043028686E-12,419.254,0,2.9083,0,0.0753,0,0,1.3468E-10,1.1572367513327E-10,2.5901E-11,2.3581598521566E-11,fsrq
4FGL J0124.8-0625,PMN J0124-0624,21.21,-6.43,2.117,PowerLaw,71.82,2.214,2.141,9.00599018894359E-14,1539.09,0,2.1887,0,0.0612,0,0,2.4919E-10,1.98494609887242E-10,3.608E-11,3.2085362441508E-11,bll
4FGL J1158.5+4824,GB1 1155+486,179.63,48.41,2.028,PowerLaw,291.97,2.443,2.472,5.70218441752228E-13,946.6,0,2.4254,0,0.0326,0,0,3.0314E-10,3.38404067424224E-10,3.4186E-11,3.28759876725376E-11,fsrq
4FGL J2248.7-3235,PKS 2245-328,342.19,-32.59,2.268,PowerLaw,301.13,2.761,2.679,4.31290402181901E-12,446.753,0,2.7357,0,0.0379,0,0,2.5856E-10,2.96946313075903E-10,3.3314E-11,3.36539190303233E-11,fsrq
4FGL J1736.6+0628,MG1 J173624+0632,264.17,6.47,2.387,PowerLaw,135.55,2.629,2.638,1.06712389309555E-12,808.447,0,2.618,0,0.0369,0,0,4.2289E-10,3.72091739180251E-10,5.3562E-11,5.01682563168301E-11,fsrq
4FGL J0039.0-0946,TXS 0036-099,9.75,-9.78,2.1015,PowerLaw,158.68,2.69,2.824,2.39860912706247E-12,506.608,0,2.6325,0,0.098,0,0,2.3315E-10,1.92911677189225E-10,3.5129E-11,3.11465332847493E-11,fsrq
4FGL J1433.0-1801,PKS 1430-178,218.25,-18.01,2.331,LogParabola,84.59,2.597,2.6,5.11634982824468E-15,5207.586,1.899422021821E-12,2.3945,2.445,0.3285,0.205,580.826,3.1672E-10,2.53760290991189E-10,4.9431E-11,4.27331240662091E-11,fsrq
4FGL J1114.5-0819,PKS B1112-080,168.64,-8.32,2.078,PowerLaw,217.89,2.824,2.758,5.13397141942733E-12,428.089,0,2.7827,0,0.143,0,0,2.5698E-10,2.8159784841098E-10,3.6891E-11,3.68963124892775E-11,fsrq
4FGL J2108.5+1434,OX 110,317.14,14.58,2.017,PowerLaw,180.09,2.765,2.709,4.60405851998055E-12,451.954,0,2.6969,0,0.1728,0,0,3.0729E-10,3.13415121534186E-10,4.3076E-11,4.07159913842446E-11,fsrq
4FGL J1119.0+1235,OM 127,169.76,12.58,2.125651,LogParabola,319.3,2.586,2.51,2.41725530445741E-14,3659.72,3.72217602243049E-12,2.4052,2.175,0.2294,0.333,537.596,4.0896E-10,4.47503543633167E-10,4.415E-11,4.14213679447906E-11,fsrq
4FGL J1045.8-2928,PKS B1043-291,161.46,-29.47,2.128,PowerLaw,185.4,2.544,2.57,1.04109329511783E-12,757.754,0,2.4986,0,0.0862,0,0,3.3747E-10,3.25144781964186E-10,4.1563E-11,3.81171514329529E-11,fsrq
4FGL J0245.4+2408,B2 0242+23,41.350000000000001,24.140000000000001,2.2430000000000003,PowerLaw,227.03,2.676,2.691,3.1201766838866386e-12,550.78,0.0,2.6476000000000002,0.0,0.082000000000000003,0.0,0.0,3.8102999999999998e-10,3.710251480758218e-10,4.6078000000000006e-11,4.303385186082835e-11,fsrq
4FGL J0217.4+7352,S5 0212+73,34.350000000000001,73.879999999999995,2.367,PowerLaw,451.15,2.94,2.907,1.5252893928145579e-11,364.13,0.0,2.8761999999999999,0.0,0.1048,0.0,0.0,4.7242999999999999e-10,4.2489620857416564e-10,5.2038999999999993e-11,4.690578860797217e-11,fsrq
4FGL J2318.2+1915,TXS 2315+189,349.55000000000001,19.25,2.1630000000000003,PowerLaw,224.15,2.667,2.677,2.1875114451370656e-12,604.315,0.0,2.661,0.0,0.0070000000000000001,0.0,0.0,3.7525000000000002e-10,3.390912056227625e-10,4.6483000000000004e-11,4.19529193299572e-11,bcu
4FGL J0231.8+1322,4C +13.14,37.960000000000001,13.359999999999999,2.0649999999999999,PowerLaw,371.8,2.678,2.661,3.9734152161631293e-12,550.973,0.0,2.6593,0.0,0.052400000000000002,0.0,0.0,5.7612999999999995e-10,4.897859696048378e-10,5.1777999999999997e-11,4.566681385285249e-11,fsrq
4FGL J0231.8+1322,4C +13.14,37.960000000000001,13.359999999999999,2.0649999999999999,PowerLaw,371.8,2.678,2.661,3.9734152161631293e-12,550.973,0.0,2.6593,0.0,0.052400000000000002,0.0,0.0,5.7612999999999995e-10,4.897859696048378e-10,5.1777999999999997e-11,4.566681385285249e-11,fsrq
4FGL J1722.6+6104,GB6 J1722+6105,260.66000000000003,61.07,2.0580000000000003,PowerLaw,130.42,2.844,2.837,1.5579318810486301e-12,532.596,0.0,2.8252000000000002,0.0,0.086800000000000002,0.0,0.0,1.7184000000000002e-10,1.4216559485288113e-10,2.5810999999999998e-11,2.603898574970601e-11,fsrq
